Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text
zombieArlene,entityclasses,EntityClass,,,Arlene the Blue,
zombieArleneFeral,entityclasses,EntityClass,,,Arlene the Blue (Bold),
zombieArleneRadiated,entityclasses,EntityClass,,,Arlene the Blue (Glow),
zombieArleneCharged,entityclasses,EntityClass,,,Arlene the Blue (Bright),
zombieMarlene,entityclasses,EntityClass,,,Marlene the Magenta,
zombieMarleneFeral,entityclasses,EntityClass,,,Marlene the Magenta (Bold),
zombieMarleneRadiated,entityclasses,EntityClass,,,Marlene the Magenta (Glow),
zombieMarleneCharged,entityclasses,EntityClass,,,Marlene the Magenta (Bright),
zombiePartyGirl,entityclasses,EntityClass,,,Party the Fuchsia,
zombiePartyGirlFeral,entityclasses,EntityClass,,,Party the Fuchsia (Bold),
zombiePartyGirlRadiated,entityclasses,EntityClass,,,Party the Fuchsia (Glow),
zombiePartyGirlCharged,entityclasses,EntityClass,,,Party the Fuchsia (Bright),
zombieNurse,entityclasses,EntityClass,,,Nurse the Pink,
zombieNurseFeral,entityclasses,EntityClass,,,Nurse the Pink (Bold),
zombieNurseRadiated,entityclasses,EntityClass,,,Nurse the Pink (Glow),
zombieNurseCharged,entityclasses,EntityClass,,,Nurse the Pink (Bright),
zombieJoe,entityclasses,EntityClass,,,Joe the Brown,
zombieJoeFeral,entityclasses,EntityClass,,,Joe the Brown (Bold),
zombieJoeRadiated,entityclasses,EntityClass,,,Joe the Brown (Glow),
zombieJoeCharged,entityclasses,EntityClass,,,Joe the Brown (Bright),
zombieSteve,entityclasses,EntityClass,,,Steve the Golden,
zombieSteveFeral,entityclasses,EntityClass,,,Steve the Golden (Bold),
zombieSteveRadiated,entityclasses,EntityClass,,,Steve the Golden (Glow),
zombieSteveCharged,entityclasses,EntityClass,,,Steve the Golden (Bright),
zombieTomClark,entityclasses,EntityClass,,,Tom the Salmon,
zombieTomClarkFeral,entityclasses,EntityClass,,,Tom the Salmon (Bold),
zombieTomClarkRadiated,entityclasses,EntityClass,,,Tom the Salmon (Glow),
zombieTomClarkCharged,entityclasses,EntityClass,,,Tom the Salmon (Bright),
zombieBusinessMan,entityclasses,EntityClass,,,Business the Violet,
